group,trial,condition,a,b,c,premise1,premise2,transitive_probe,reverse_probe,transitive_support,reverse_support,unrelated_support,core_margin,bridge_usage,embedding_transitive,embedding_reverse,embedding_margin,transitive_nodes,transitive_edges
固定射影,1,未学習,リク,クル,ラモ,リクはクルより強い,クルはラモより強い,リクはラモより強い,ラモはリクより強い,0.2679057548478029,0.30014958225619126,0.003070175438596491,-0.03224382740838838,0.23809523809523808,0.8025962746442661,0.7443250471590301,0.058271227485235944,29,21
固定射影,1,前提1のみ,リク,クル,ラモ,リクはクルより強い,クルはラモより強い,リクはラモより強い,ラモはリクより強い,0.4357247192845019,0.41778019557274876,0.0028688524590163933,0.017944523711753146,0.4444444444444444,0.8025464229748434,0.744196107441718,0.05835031553312531,34,27
固定射影,1,推移連鎖,リク,クル,ラモ,リクはクルより強い,クルはラモより強い,リクはラモより強い,ラモはリクより強い,0.4197273601782158,0.49607030908864075,0.0730213016611701,-0.07634294891042492,0.4827586206896552,0.8026163381446367,0.7443250471590301,0.05829129098560659,36,29
固定射影,1,同語彙対照,リク,クル,ラモ,リクはクルより強い,ラモはクルより強い,リクはラモより強い,ラモはリクより強い,0.47826851851851854,0.648443675889328,0.0716956802063185,-0.17017515737080952,0.5,0.7795374880263424,0.7957372918362564,-0.016199803809914037,39,32
固定射影,2,未学習,セナ,キト,リク,セナはキトより強い,キトはリクより強い,セナはリクより強い,リクはセナより強い,0.27965447154471545,0.2005522617479139,0.1962790915915916,0.07910220979680155,0.19047619047619047,0.6487381257729308,0.5921405643243574,0.05659756144857342,28,21
固定射影,2,前提1のみ,セナ,キト,リク,セナはキトより強い,キトはリクより強い,セナはリクより強い,リクはセナより強い,0.5078334060897085,0.22012120683641437,0.34181645879188066,0.28771219925329417,0.48717948717948717,0.6486840758008796,0.5920725798037251,0.05661149599715454,41,39
固定射影,2,推移連鎖,セナ,キト,リク,セナはキトより強い,キトはリクより強い,セナはリクより強い,リクはセナより強い,0.5163903061224491,0.19988615664845175,0.35822188553424167,0.3165041494739973,0.6,0.6486840758008796,0.5920725798037251,0.05661149599715454,41,35
固定射影,2,同語彙対照,セナ,キト,リク,セナはキトより強い,リクはキトより強い,セナはリクより強い,リクはセナより強い,0.5373374279518348,0.244269090472014,0.3389455191322628,0.2930683374798208,0.5476190476190477,0.6473214981697306,0.6470326889374637,0.0002888092322669289,45,42
固定射影,3,未学習,ジム,メザ,セナ,ジムはメザより強い,メザはセナより強い,ジムはセナより強い,セナはジムより強い,0.1568097643097643,0.1384415064102564,0.1413013538748833,0.018368257899507884,0.09523809523809523,0.6770883814961994,0.6643633669920508,0.012725014504148646,29,21
固定射影,3,前提1のみ,ジム,メザ,セナ,ジムはメザより強い,メザはセナより強い,ジムはセナより強い,セナはジムより強い,0.24309675704412545,0.26561476837338904,0.28568761125154146,-0.022518011329263593,0.32,0.6771306861848855,0.6643633669920508,0.012767319192834692,33,25
固定射影,3,推移連鎖,ジム,メザ,セナ,ジムはメザより強い,メザはセナより強い,ジムはセナより強い,セナはジムより強い,0.2959046102811783,0.2918167928081583,0.332625713482765,0.004087817473020006,0.4074074074074074,0.6770733943044476,0.6643528278624989,0.012720566441948633,35,27
固定射影,3,同語彙対照,ジム,メザ,セナ,ジムはメザより強い,セナはメザより強い,ジムはセナより強い,セナはジムより強い,0.29547316384180794,0.360046768707483,0.2929232550523362,-0.06457360486567504,0.37037037037037035,0.6905529252149541,0.7206713507142538,-0.03011842549929966,35,27
固定射影,4,未学習,ジム,ポラ,ニト,ジムはポラより強い,ポラはニトより強い,ジムはニトより強い,ニトはジムより強い,0.17779088050314465,0.2131963158792427,0.060911033411033405,-0.035405435376098054,0.10526315789473684,0.679889701553845,0.6570777394621078,0.022811962091737192,27,19
