group,trial,projection_seed,order,probe_label,probe_text,sunny_affinity,rainy_affinity,ambiguous_affinity,sunny_margin,rainy_margin,confidence_gap,node_count,edge_count
固定射影,1,20260804,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.24630281,0.13103207,0.26773807,0.11527074,-0.11527074,0.11527074,47,38
固定射影,1,20260804,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.11373858,0.2904041,0.15458498,-0.17666552,0.17666552,0.17666552,37,31
固定射影,1,20260804,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.176682,0.17610651,0.13271974,0.00057549,-0.00057549,0.00057549,42,34
固定射影,1,20260804,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.23299023,0.21943898,0.32393853,0.01355125,-0.01355125,0.01355125,45,39
固定射影,1,20260804,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.11190878,0.31548774,0.23979278,-0.20357896,0.20357896,0.20357896,50,42
固定射影,1,20260804,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.04847524,0.00920659,0.02693684,0.03926865,-0.03926865,0.03926865,31,21
固定射影,1,20260804,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.23693011,0.1335483,0.26901283,0.10338182,-0.10338182,0.10338182,46,38
固定射影,1,20260804,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.13718671,0.27587662,0.14753749,-0.13868991,0.13868991,0.13868991,40,34
固定射影,1,20260804,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.20164188,0.18265766,0.13271974,0.01898422,-0.01898422,0.01898422,42,34
固定射影,1,20260804,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.22270956,0.22404469,0.32393853,-0.00133513,0.00133513,0.00133513,45,39
固定射影,1,20260804,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.12544567,0.30747038,0.24053093,-0.18202472,0.18202472,0.18202472,53,45
固定射影,1,20260804,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.03700242,0.00901956,0.02735356,0.02798286,-0.02798286,0.02798286,30,20
固定射影,1,20260804,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.24582033,0.13442819,0.25397222,0.11139214,-0.11139214,0.11139214,48,39
固定射影,1,20260804,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.13210835,0.28999268,0.14303508,-0.15788433,0.15788433,0.15788433,38,32
固定射影,1,20260804,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.18671854,0.18950375,0.14252984,-0.00278521,0.00278521,0.00278521,44,36
固定射影,1,20260804,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.23613988,0.22347973,0.30987266,0.01266016,-0.01266016,0.01266016,45,39
固定射影,1,20260804,曖昧→晴れ→雨,暗いが降らない,空は暗いが雨は降っていない,0.11586642,0.3047515,0.23809678,-0.18888509,0.18888509,0.18888509,48,40
固定射影,1,20260804,曖昧→晴れ→雨,遠い対照,会計ソフトが請求書を処理する,0.03805615,0.00934641,0.03368673,0.02870974,-0.02870974,0.02870974,30,20
固定射影,2,20260804,晴れ→雨→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.24630281,0.13103207,0.26773807,0.11527074,-0.11527074,0.11527074,47,38
固定射影,2,20260804,晴れ→雨→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.11373858,0.2904041,0.15458498,-0.17666552,0.17666552,0.17666552,37,31
固定射影,2,20260804,晴れ→雨→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.176682,0.17610651,0.13271974,0.00057549,-0.00057549,0.00057549,42,34
固定射影,2,20260804,晴れ→雨→曖昧,雨でも明るい,雨の日でも気分は明るい,0.23299023,0.21943898,0.32393853,0.01355125,-0.01355125,0.01355125,45,39
固定射影,2,20260804,晴れ→雨→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.11190878,0.31548774,0.23979278,-0.20357896,0.20357896,0.20357896,50,42
固定射影,2,20260804,晴れ→雨→曖昧,遠い対照,会計ソフトが請求書を処理する,0.04847524,0.00920659,0.02693684,0.03926865,-0.03926865,0.03926865,31,21
固定射影,2,20260804,雨→晴れ→曖昧,雨上がりの日差し,雨上がりの空に日が差している,0.23693011,0.1335483,0.26901283,0.10338182,-0.10338182,0.10338182,46,38
固定射影,2,20260804,雨→晴れ→曖昧,曇りだが暖かい,曇っているが少し暖かい,0.13718671,0.27587662,0.14753749,-0.13868991,0.13868991,0.13868991,40,34
固定射影,2,20260804,雨→晴れ→曖昧,晴れだが冷たい,晴れているのに冷たい風が吹く,0.20164188,0.18265766,0.13271974,0.01898422,-0.01898422,0.01898422,42,34
固定射影,2,20260804,雨→晴れ→曖昧,雨でも明るい,雨の日でも気分は明るい,0.22270956,0.22404469,0.32393853,-0.00133513,0.00133513,0.00133513,45,39
固定射影,2,20260804,雨→晴れ→曖昧,暗いが降らない,空は暗いが雨は降っていない,0.12544567,0.30747038,0.24053093,-0.18202472,0.18202472,0.18202472,53,45
固定射影,2,20260804,雨→晴れ→曖昧,遠い対照,会計ソフトが請求書を処理する,0.03700242,0.00901956,0.02735356,0.02798286,-0.02798286,0.02798286,30,20
固定射影,2,20260804,曖昧→晴れ→雨,雨上がりの日差し,雨上がりの空に日が差している,0.24582033,0.13442819,0.25397222,0.11139214,-0.11139214,0.11139214,48,39
固定射影,2,20260804,曖昧→晴れ→雨,曇りだが暖かい,曇っているが少し暖かい,0.13210835,0.28999268,0.14303508,-0.15788433,0.15788433,0.15788433,38,32
固定射影,2,20260804,曖昧→晴れ→雨,晴れだが冷たい,晴れているのに冷たい風が吹く,0.18671854,0.18950375,0.14252984,-0.00278521,0.00278521,0.00278521,44,36
固定射影,2,20260804,曖昧→晴れ→雨,雨でも明るい,雨の日でも気分は明るい,0.23613988,0.22347973,0.30987266,0.01266016,-0.01266016,0.01266016,45,39
